"training_set_id";"period";"hour_number";"timestamp_cst";"hours_in_sample"
1;2022;354477;"2023-06-10 20:00:00";348.0
1;2022;355010;"2023-07-03 01:00:00";12.0
1;2022;355014;"2023-07-03 05:00:00";12.0
1;2022;355018;"2023-07-03 09:00:00";12.0
1;2022;355022;"2023-07-03 13:00:00";12.0
1;2022;355026;"2023-07-03 17:00:00";12.0
1;2022;355030;"2023-07-03 21:00:00";12.0
1;2022;355561;"2023-07-26 00:00:00";360.0
1;2022;355565;"2023-07-26 04:00:00";360.0
1;2022;355569;"2023-07-26 08:00:00";360.0
1;2022;355573;"2023-07-26 12:00:00";360.0
1;2022;355577;"2023-07-26 16:00:00";360.0
1;2022;355581;"2023-07-26 20:00:00";360.0
1;2022;356113;"2023-08-18 00:00:00";12.0
1;2022;356117;"2023-08-18 04:00:00";12.0
1;2022;356121;"2023-08-18 08:00:00";12.0
1;2022;356125;"2023-08-18 12:00:00";12.0
1;2022;356129;"2023-08-18 16:00:00";12.0
1;2022;356133;"2023-08-18 20:00:00";12.0
1;2022;355873;"2023-08-08 00:00:00";360.0
1;2022;355877;"2023-08-08 04:00:00";360.0
1;2022;355881;"2023-08-08 08:00:00";360.0
1;2022;355885;"2023-08-08 12:00:00";360.0
1;2022;355889;"2023-08-08 16:00:00";360.0
1;2022;355893;"2023-08-08 20:00:00";360.0
1;2022;356548;"2023-09-05 03:00:00";12.0
1;2022;356552;"2023-09-05 07:00:00";12.0
1;2022;356556;"2023-09-05 11:00:00";12.0
1;2022;356560;"2023-09-05 15:00:00";12.0
1;2022;356564;"2023-09-05 19:00:00";12.0
1;2022;356568;"2023-09-05 23:00:00";12.0
1;2022;356569;"2023-09-06 00:00:00";348.0
1;2022;356573;"2023-09-06 04:00:00";348.0
1;2022;356577;"2023-09-06 08:00:00";348.0
1;2022;356581;"2023-09-06 12:00:00";348.0
1;2022;356585;"2023-09-06 16:00:00";348.0
1;2022;356589;"2023-09-06 20:00:00";348.0
1;2022;357722;"2023-10-24 01:00:00";12.0
1;2022;357726;"2023-10-24 05:00:00";12.0
1;2022;357730;"2023-10-24 09:00:00";12.0
