project_id,technology,original_dataset_id,load_area,capacity_limit,capacity_limit_conversion,connect_cost_per_mw,location_id
9374,Central_PV,19052,WY_SE,1.92612525886536,44.201689860515,19975.5160095129,10674
15993,CSP_Trough_No_Storage,17052,NM_N,13.2021517610168,53.8713707390415,37035.6974888583,10675
8396,Central_PV,17052,NM_N,13.2021517610168,42.7338823712446,37035.6974888583,10675
5502,Central_PV,10863,NM_N,83.5034831202698,42.8809366944678,40546.429385019,10676
19365,CSP_Trough_6h_Storage,103653645,NM_N,83.5034831202698,39.3744409581404,40546.429385019,10676
13100,CSP_Trough_No_Storage,10863,NM_N,83.5034831202698,55.1242173413965,40546.429385019,10676
9320,Central_PV,18902,CO_E,3988.51769484793,87.4955728105963,242.874583479879,10677
16917,CSP_Trough_No_Storage,18902,CO_E,3988.51769484793,104.545783271533,242.874583479879,10677
2428,Wind,667,NM_N,60,1,37557.4498708965,10678
2375,Wind,619,NM_N,150,1,58724.4540579935,10679
2859,Wind,1384,WY_SE,180,1,24534.2942002399,10680
607,Wind,2501,WY_SE,30,1,42541.4793185267,10681
398,Wind,2611,WY_NE,30,1,7406.97392315883,10682
17339,CSP_Trough_No_Storage,19424,WY_SE,19.5651793218765,51.1946839236552,43048.9882526661,10684
9742,Central_PV,19424,WY_SE,19.5651793218765,44.4591999463519,43048.9882526661,10684
18301,CSP_Trough_No_Storage,22829,CO_E,97.2058599608002,52.2538131786479,184.221028114219,10686
10705,Central_PV,22829,CO_E,97.2058599608002,43.5607345393829,184.221028114219,10686
11419,CSP_Trough_No_Storage,3552,WY_SE,13.4705059097137,51.6997088699747,17560.6051261377,10687
3821,Central_PV,3552,WY_SE,13.4705059097137,44.201689860515,17560.6051261377,10687
2423,Wind,3741,NM_N,30,1,34394.8136276777,10694
3964,Central_PV,3727,WY_SE,40.6039348599777,44.3819469206009,44560.1147201308,10688
11562,CSP_Trough_No_Storage,3727,WY_SE,40.6039348599777,51.4795744643498,44560.1147201308,10688
17341,CSP_Trough_No_Storage,19426,WY_SE,1.26195737353516,50.8786816484225,43667.9625850235,10689
9744,Central_PV,19426,WY_SE,1.26195737353516,44.4849509549356,43667.9625850235,10689
13688,CSP_Trough_No_Storage,12102,NM_N,103.038633238953,54.4660374483034,34539.71364359,10690
6090,Central_PV,12102,NM_N,103.038633238953,42.7002936770001,34539.71364359,10690
