site,generator_type,renewable_id,load_area,capacity_mw,connect_cost_per_mw,timezone_difference_from_utc,site_name_or_notes
Distributed_PV_AZ_PHX_111453385,Distributed_PV,111453385,AZ_PHX,17.875599,,-7,
Distributed_PV_AZ_PHX_111853325,Distributed_PV,111853325,AZ_PHX,166.5359178,,-7,
Distributed_PV_AZ_APS_SW_112553375,Distributed_PV,112553375,AZ_APS_SW,27.2511232,,-7,
Distributed_PV_AZ_SE_109553135,Distributed_PV,109553135,AZ_SE,14.0124908,,-7,
Distributed_PV_AZ_NW_114153485,Distributed_PV,114153485,AZ_NW,35.4579092,,-7,
Distributed_PV_AZ_SE_111153245,Distributed_PV,111153245,AZ_SE,11.9753704,,-7,
Distributed_PV_AZ_PHX_112353345,Distributed_PV,112353345,AZ_PHX,31.6990422,,-7,
Distributed_PV_AZ_PHX_111753345,Distributed_PV,111753345,AZ_PHX,350.157675,,-7,
Distributed_PV_AZ_APS_SW_112453335,Distributed_PV,112453335,AZ_APS_SW,16.7059774,,-7,
Distributed_PV_AZ_SE_110853215,Distributed_PV,110853215,AZ_SE,429.9498966,,-7,
Distributed_PV_AZ_PHX_111953355,Distributed_PV,111953355,AZ_PHX,12.0707776,,-7,
Distributed_PV_AZ_PHX_111953335,Distributed_PV,111953335,AZ_PHX,144.7477402,,-7,
Distributed_PV_AZ_APS_SW_114753255,Distributed_PV,114753255,AZ_APS_SW,20.7961194,,-7,
Distributed_PV_OR_W_124254335,Distributed_PV,124254335,OR_W,14.8199184,,-8,
Distributed_PV_WA_SEATAC_122254715,Distributed_PV,122254715,WA_SEATAC,57.0976756,,-8,
Distributed_PV_CA_SCE_CEN_118053425,Distributed_PV,118053425,CA_SCE_CEN,9.3446052,,-8,
Distributed_PV_CA_SCE_VLY_119453635,Distributed_PV,119453635,CA_SCE_VLY,80.888521,,-8,
Distributed_PV_CA_SDGE_117253315,Distributed_PV,117253315,CA_SDGE,152.1585828,,-8,
Distributed_PV_CA_SCE_S_117653415,Distributed_PV,117653415,CA_SCE_S,63.176351,,-8,
Distributed_PV_CA_PGE_CEN_120053695,Distributed_PV,120053695,CA_PGE_CEN,38.1690638,,-8,
Distributed_PV_CA_PGE_S_120653545,Distributed_PV,120653545,CA_PGE_S,23.3314774,,-8,
Distributed_PV_OR_PDX_122554535,Distributed_PV,122554535,OR_PDX,32.8554128,,-8,
Distributed_PV_WA_ID_AVA_117254765,Distributed_PV,117254765,WA_ID_AVA,22.486947,,-8,
Distributed_PV_CA_SCE_S_116453415,Distributed_PV,116453415,CA_SCE_S,14.898541,,-8,
Distributed_PV_CA_SCE_CEN_117353455,Distributed_PV,117353455,CA_SCE_CEN,56.5632186,,-8,
Distributed_PV_CA_SCE_VLY_119653635,Distributed_PV,119653635,CA_SCE_VLY,36.8254124,,-8,
Distributed_PV_CA_SCE_S_117953385,Distributed_PV,117953385,CA_SCE_S,144.3528604,,-8,
Distributed_PV_CA_SDGE_117353325,Distributed_PV,117353325,CA_SDGE,9.9815366,,-8,
Distributed_PV_CA_SCE_S_117353405,Distributed_PV,117353405,CA_SCE_S,72.4838534,,-8,
Distributed_PV_CA_LADWP_118353415,Distributed_PV,118353415,CA_LADWP,120.1706688,,-8,
