gen_info_scenario_id,technology_id,technology,prime_mover,min_online_year,fuel,connect_cost_dollars_per_mw_generic,heat_rate_mmbtu_per_mwh,construction_time_years,year_1_cost_fraction,year_2_cost_fraction,year_3_cost_fraction,year_4_cost_fraction,year_5_cost_fraction,year_6_cost_fraction,max_age_years,forced_outage_rate,scheduled_outage_rate,intermittent,distributed,resource_limited,baseload,flexible_baseload,dispatchable,cogenerator,min_build_capacity_mw,can_build_new,competes_for_space,ccs,storage,storage_efficiency,max_store_rate,max_spinning_reserve_fraction_of_capacity,heat_rate_penalty_spinning_reserve,minimum_loading,deep_cycling_penalty,startup_mmbtu_per_mw,startup_cost_dollars_per_mw
8,91,Bio_Solid_Steam_Turbine_Cogen_EP,ST,0,Bio_Solid,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,1,0,0,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,100,Coal_Steam_Turbine_Cogen,ST,2010,Coal,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.0600,0.1000,0,0,1,1,0,0,1,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,101,Gas_Combustion_Turbine_Cogen,GT,2010,Gas,61241.1,,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,1,1,0,0,1,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,102,Gas_Steam_Turbine_Cogen,ST,2010,Gas,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,1,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,103,CCGT_Cogen,CC,2010,Gas,61241.1,,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0400,0.0600,0,0,1,1,0,0,1,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,104,Gas_Internal_Combustion_Engine_Cogen,IC,2010,Gas,61241.1,,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,1,1,0,0,1,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,105,Bio_Gas_Internal_Combustion_Engine_Cogen,IC,2010,Bio_Gas,61241.1,,1,1.00,0.00,0.00,0.00,0.00,0.00,20,0.1100,0.0400,0,0,1,1,0,0,1,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,106,Bio_Liquid_Steam_Turbine_Cogen,ST,2010,Bio_Liquid,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,1,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,107,Bio_Solid_Steam_Turbine_Cogen,ST,2010,Bio_Solid,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,1,0,1,1,0,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,110,CCGT_Cogen_CCS,CC,2020,Gas_CCS,61241.1,,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0400,0.0600,0,0,1,1,0,0,1,0,1,1,1,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,111,Gas_Combustion_Turbine_Cogen_CCS,GT,2020,Gas_CCS,61241.1,,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,1,1,0,0,1,0,1,1,1,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,112,Gas_Internal_Combustion_Engine_Cogen_CCS,IC,2020,Gas_CCS,61241.1,,2,0.25,0.75,0.00,0.00,0.00,0.00,20,0.0300,0.0500,0,0,1,1,0,0,1,0,1,1,1,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,113,Gas_Steam_Turbine_Cogen_CCS,ST,2020,Gas_CCS,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,1,0,1,1,1,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,116,Bio_Solid_Steam_Turbine_Cogen_CCS,ST,2020,Bio_Solid_CCS,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.1288,0.0915,0,0,1,1,0,0,1,0,1,1,1,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
8,117,Coal_Steam_Turbine_Cogen_CCS,ST,2020,Coal_CCS,61241.1,,2,0.20,0.80,0.00,0.00,0.00,0.00,40,0.0600,0.1000,0,0,1,1,0,0,1,0,1,1,1,0,0.0000,0.00,0.0000,0.0000,1.0000,0.0000,0.00,0.00
