ep_id,month,avg_capacity_factor_hydro
5000065,8,0.13938
5000065,9,0.11007
5000065,10,0.20575
5000065,11,0.19912
5000065,12,0.07743
5000066,1,0.24785
5000066,2,0.29104
5000066,3,0.48871
5000066,4,0.62321
5000066,5,0.74005
5000066,6,0.69570
5000066,7,0.59848
5000066,8,0.41281
5000066,9,0.28737
5000066,10,0.10278
5000066,11,0.05036
5000066,12,0.16792
5000067,1,0.25900
5000067,2,0.26595
5000067,3,0.28884
5000067,4,0.43493
5000067,5,0.62834
5000067,6,0.62114
5000067,7,0.63477
5000067,8,0.50849
5000067,9,0.34671
5000067,10,0.23071
5000067,11,0.22274
5000067,12,0.30221
5000068,1,0.46389
5000068,2,0.53889
5000068,3,0.66667
5000068,4,0.73611
5000068,5,0.73333
5000068,6,0.63333
5000068,7,0.62500
5000068,8,0.57778
5000068,9,0.38889
5000068,10,0.38889
5000068,11,0.31111
5000068,12,0.41111
5000069,1,0.18816
5000069,2,0.28882
5000069,3,0.42467
5000069,4,0.54033
5000069,5,0.68474
5000069,6,0.62711
5000069,7,0.54033
5000069,8,0.34711
5000069,9,0.18612
5000069,10,0.09013
5000069,11,0.06322
5000069,12,0.06737
5000070,1,0.44028
5000070,2,0.42917
5000070,3,0.47778
5000070,4,0.55278
5000070,5,0.60833
5000070,6,0.60972
5000070,7,0.58611
5000070,8,0.51667
5000070,9,0.41944
5000070,10,0.36528
5000070,11,0.35972
5000070,12,0.36944
5000071,1,0.17647
5000071,2,0.15074
5000071,3,0.29412
5000071,4,0.55147
5000071,5,0.67647
5000071,6,0.72059
5000071,7,0.74632
5000071,8,0.65809
5000071,9,0.49632
5000071,10,0.29779
5000071,11,0.13235
5000071,12,0.13603
5000072,1,0.28413
5000072,2,0.39013
5000072,3,0.46763
5000072,4,0.53075
5000072,5,0.57488
5000072,6,0.55188
5000072,7,0.52350
5000072,8,0.46613
5000072,9,0.40213
5000072,10,0.37100
5000072,11,0.34250
5000072,12,0.30500
5000073,1,0.16810
5000073,2,0.24138
5000073,3,0.28448
5000073,4,0.37931
5000073,5,0.39224
5000073,6,0.29310
5000073,7,0.28017
5000073,8,0.18534
5000073,9,0.14224
5000073,10,0.10345
5000073,11,0.09052
5000073,12,0.11207
5000074,1,0.29722
5000074,2,0.30000
5000074,3,0.35556
5000074,4,0.43611
5000074,5,0.51667
5000074,6,0.51944
5000074,7,0.51111
5000074,8,0.43889
5000074,9,0.32778
5000074,10,0.25556
5000074,11,0.24722
5000074,12,0.27500
5000075,1,0.28571
5000075,2,0.17857
5000075,3,0.34821
5000075,4,0.45536
5000075,5,0.46429
5000075,6,0.52679
5000075,7,0.54911
5000075,8,0.52232
5000075,9,0.37946
5000075,10,0.15625
5000075,11,0.26786
5000075,12,0.19196
5000076,1,0.07988
5000076,2,0.05967
5000076,3,0.13808
