project_id,technology,original_dataset_id,load_area,capacity_limit,capacity_limit_conversion,connect_cost_per_mw,location_id,avg_capacity_factor
1001321,Commercial_PV,1001321,NM_N,82.491,1,,100034,0.151399305402602
1001322,Residential_PV,1001322,CO_E,59.813,1,,100036,0.144511546369626
1001323,Commercial_PV,1001323,CA_SCE_VLY,19.7524,1,,100036,0.150173342853675
1001324,Residential_PV,1001324,WY_SW,112.671,1,,100362,0.161282605287379
1001325,Commercial_PV,1001325,AZ_APS_E,26.1441,1,,100362,0.167609133932291
1001336,Residential_PV,1001336,OR_PDX,26.429,1,,102207,0.135649948796748
1001337,Commercial_PV,1001337,OR_PDX,5.8701,1,,102207,0.14012279263216
1001338,Residential_PV,1001338,CA_SCE_CEN,22.256,1,,102901,0.156602308013117
1001339,Commercial_PV,1001339,NM_S_TX_EPE,4.8342,1,,102901,0.162427499552268
1001340,Residential_PV,1001340,CA_SCE_VLY,23.647,1,,102236,0.135649948796748
1001341,Commercial_PV,1001341,NV_N,5.1795,1,,102236,0.14012279263216
1001342,Residential_PV,1001342,NV_N,122.408,1,,103151,0.157857508453134
1001343,Commercial_PV,1001343,CO_E,26.5881,1,,103151,0.163407302126559
1001344,Residential_PV,1001344,OR_PDX,18.083,1,,102204,0.135649948796748
1001345,Commercial_PV,1001345,NM_S_TX_EPE,4.1436,1,,102204,0.140122792632159
1001346,Residential_PV,1001346,OR_E,18.083,1,,102309,0.145558274835549
1001347,Commercial_PV,1001347,CA_PGE_CEN,4.1436,1,,102309,0.150313444650102
1001348,Residential_PV,1001348,NV_N,29.211,1,,102258,0.124359871249328
1001349,Commercial_PV,1001349,NM_N,6.5607,1,,102258,0.128334177787028
1001350,Residential_PV,1001350,NM_N,182.221,1,,102251,0.124359871249328
1001351,Commercial_PV,1001351,AZ_PHX,39.7095,1,,102251,0.128334177787028
1001352,Residential_PV,1001352,AZ_APS_SW,2512.146,1,,102178,0.135649948796747
1001353,Commercial_PV,1001353,OR_WA_BPA,546.9552,1,,102178,0.14012279263216
1001354,Residential_PV,1001354,CA_SCE_CEN,23.647,1,,102057,0.135649948796747
1001355,Commercial_PV,1001355,CA_SCE_CEN,5.1795,1,,102057,0.14012279263216
1001356,Residential_PV,1001356,OR_PDX,26.429,1,,102370,0.162849875311268
1001357,Commercial_PV,1001357,NV_N,5.5248,1,,102370,0.168362416602685
1001358,Residential_PV,1001358,CA_PGE_CEN,27.82,1,,102581,0.168177055060868
1001359,Commercial_PV,1001359,OR_PDX,6.2154,1,,102581,0.174300579770482
1001360,Residential_PV,1001360,AZ_APS_E,25.038,1,,103306,0.163911820698528
1001361,Commercial_PV,1001361,CA_PGE_CEN,5.5248,1,,103306,0.169882688806135
1001362,Residential_PV,1001362,OR_E,34.775,1,,102327,0.145558274835549
1001363,Commercial_PV,1001363,NM_S_TX_EPE,7.5966,1,,102327,0.150313444650104
1001364,Residential_PV,1001364,CA_SCE_VLY,77.896,1,,100759,0.149216256812733
1001365,Commercial_PV,1001365,AZ_APS_SW,16.9197,1,,100759,0.154948633119839
1001366,Residential_PV,1001366,OR_PDX,55.64,1,,102205,0.135649948796748
1001367,Commercial_PV,1001367,AZ_APS_E,12.0855,1,,102205,0.14012279263216
1001368,Residential_PV,1001368,AZ_APS_E,1716.494,1,,102341,0.124359871249328
1001369,Commercial_PV,1001369,AZ_APS_E,373.6146,1,,102341,0.128334177787028
1001396,Residential_PV,1001396,OR_PDX,141.882,1,,102709,0.174285627112561
1001397,Commercial_PV,1001397,NM_S_TX_EPE,75.33,1,,102709,0.181058945609591
1001398,Residential_PV,1001398,CA_PGE_CEN,87.633,1,,102060,0.189006602326804
1001399,Commercial_PV,1001399,CA_SCE_VLY,47.3376,1,,102060,0.196520976116291
1001400,Residential_PV,1001400,NM_N,344.968,1,,100086,0.132380861113989
1001401,Commercial_PV,1001401,NM_S_TX_EPE,73.185,1,,100086,0.137626464542403
1001402,Residential_PV,1001402,OR_PDX,125.19,1,,100106,0.129986708109036
1001403,Commercial_PV,1001403,OR_PDX,27.412,1,,100106,0.135186493786898
1001404,Residential_PV,1001404,CO_E,123.799,1,,100075,0.133001470464678
1001405,Commercial_PV,1001405,AZ_APS_SW,27.1776,1,,100075,0.138299821717095
1001458,Residential_PV,1001458,OR_E,301.847,1,,101463,0.215388626537294
1001459,Commercial_PV,1001459,CA_PGE_CEN,148.134,1,,101463,0.225136890985076
1001484,Residential_PV,1001484,AZ_APS_SW,73.723,1,,103990,0.216386786517212
1001485,Commercial_PV,1001485,ID_S_OR_E,47.3271,1,,103990,0.225377049546538
1001486,Residential_PV,1001486,ID_S_OR_E,36.166,1,,104231,0.209959649784326
1001487,Commercial_PV,1001487,ID_S_OR_E,22.5794,1,,104231,0.218022361206759
1001610,Residential_PV,1001610,CA_PGE_CEN,165.529,1,,102187,0.164002502432754
1001611,Commercial_PV,1001611,NV_N,75.8928,1,,102187,0.170478385223393
1001612,Residential_PV,1001612,CA_SCE_VLY,33.384,1,,101721,0.208660901508248
1001613,Commercial_PV,1001613,CA_SCE_CEN,16.8705,1,,101721,0.218730957522405
1001614,Residential_PV,1001614,AZ_APS_E,41.73,1,,101708,0.210734649146815
1001615,Commercial_PV,1001615,NM_S_TX_EPE,21.0743,1,,101708,0.221276856579506
1001622,Residential_PV,1001622,CO_E,90.415,1,,102841,0.172466577018172
1001623,Commercial_PV,1001623,CO_E,42.0502,1,,102841,0.17871309550038
