breakpoint_id,load_area,price_dollars_per_mbtu,mbtus_per_year,breakpoint_mbtus_per_year
3,CO_DEN,2.19354838709677,44778.640447489,10624227.8968165
4,CO_DEN,2.9247311827957,21729.0453645992,10645956.9421811
5,CO_DEN,3.46774193548387,134247.229259287,10780204.1714403
6,CO_DEN,3.65591397849462,19964.3107410655,10800168.4821814
7,CO_DEN,3.82290934645116,2012477.38297493,12812645.8651563
8,CO_DEN,4.16129032258065,3408815.71400755,16221461.5791639
1,CO_E,1.38709677419355,467143.100727838,5081597.58208065
2,CO_E,2.08064516129032,296652.436752314,5378250.01883296
3,CO_E,2.19354838709677,89793.9750117836,5468043.99384475
4,CO_E,2.9247311827957,43572.9476565094,5511616.94150126
5,CO_E,3.46774193548387,39043.6385262664,5550660.58002752
6,CO_E,3.65591397849462,40034.1502592325,5590694.73028676
7,CO_E,3.82290934645116,16522007.9193231,22112702.6496098
8,CO_E,4.16129032258065,1298730.27427685,23411432.9238867
1,CO_NW,1.38709677419355,926012.288714847,3013182.70693634
2,CO_NW,2.08064516129032,420571.921393174,3433754.62832951
3,CO_NW,2.19354838709677,218082.151093922,3651836.77942343
4,CO_NW,2.9247311827957,105825.3866494,3757662.16607283
5,CO_NW,3.46774193548387,519827.311644931,4277489.47771776
6,CO_NW,3.65591397849462,97230.7284288291,4374720.20614659
7,CO_NW,3.82290934645116,138003.805103075,4512724.01124967
8,CO_NW,4.16129032258065,893654.165073962,5406378.17632363
1,CO_SW,1.38709677419355,697898.502527044,1118272.46492779
2,CO_SW,2.08064516129032,312461.285540662,1430733.75046845
3,CO_SW,2.19354838709677,311326.443309847,1742060.1937783
4,CO_SW,2.9247311827957,151072.617259421,1893132.81103772
5,CO_SW,3.46774193548387,403679.288106578,2296812.0991443
6,CO_SW,3.65591397849462,138803.183712288,2435615.28285659
7,CO_SW,3.82290934645116,3356226.57288811,5791841.8557447
8,CO_SW,4.16129032258065,628279.84418892,6420121.69993362
1,ID_E,1.38709677419355,265423.052672119,742015.336399564
2,ID_E,2.08064516129032,386729.740276982,1128745.07667655
3,ID_E,2.19354838709677,163583.117610486,1292328.19428703
4,ID_E,2.9247311827957,79928.4687549052,1372256.66304194
5,ID_E,3.46774193548387,29077.2083437721,1401333.87138571
6,ID_E,3.65591397849462,74823.4127378803,1476157.28412359
7,ID_E,3.82290934645116,7731961.53201824,9208118.81614183
8,ID_E,4.16129032258065,3528.85142524897,9211647.66756708
9,ID_E,5.43921293042867,3392138.29895448,12603785.9665216
1,ID_S_OR_E,1.38709677419355,1222895.34123462,2734491.28085543
2,ID_S_OR_E,2.08064516129032,17212743.9060347,19947235.1868901
3,ID_S_OR_E,2.19354838709677,1514717.60742066,21461952.7943108
4,ID_S_OR_E,2.9247311827957,742187.080963954,22204139.8752747
5,ID_S_OR_E,3.46774193548387,31596516.2140824,53800656.0893571
6,ID_S_OR_E,3.65591397849462,693489.553880899,54494145.643238
7,ID_S_OR_E,3.82290934645116,6909326.60175341,61403472.2449914
8,ID_S_OR_E,4.16129032258065,215028.179227263,61618500.4242187
