load_area,compliance_year,compliance_fraction
MT_SE,2011,0.0995343218112971
MT_SE,2012,0.0995343218112971
MT_SE,2013,0.0995343218112971
MT_SE,2014,0.0995343218112971
MT_SE,2015,0.149301482716946
MT_SE,2016,0.149301482716946
MT_SE,2017,0.149301482716946
MT_SE,2018,0.149301482716946
MT_SE,2019,0.149301482716946
MT_SE,2020,0.149301482716946
MT_SE,2021,0.149301482716946
MT_SE,2022,0.149301482716946
MT_SE,2023,0.149301482716946
MT_SE,2024,0.149301482716946
MT_SE,2025,0.149301482716946
MT_SE,2026,0.149301482716946
MT_SE,2027,0.149301482716946
MT_SE,2028,0.149301482716946
MT_SE,2029,0.149301482716946
MT_SE,2030,0.149301482716946
MT_SE,2031,0.149301482716946
MT_SE,2032,0.149301482716946
MT_SE,2033,0.149301482716946
MT_SE,2034,0.149301482716946
MT_SE,2035,0.149301482716946
MT_SW,2010,0.096926758068073
MT_SW,2011,0.096926758068073
MT_SW,2012,0.096926758068073
MT_SW,2013,0.096926758068073
MT_SW,2014,0.096926758068073
MT_SW,2015,0.14539013710211
MT_SW,2016,0.14539013710211
MT_SW,2017,0.14539013710211
MT_SW,2018,0.14539013710211
MT_SW,2019,0.14539013710211
MT_SW,2020,0.14539013710211
MT_SW,2021,0.14539013710211
MT_SW,2022,0.14539013710211
MT_SW,2023,0.14539013710211
MT_SW,2024,0.14539013710211
MT_SW,2025,0.14539013710211
MT_SW,2026,0.14539013710211
MT_SW,2027,0.14539013710211
MT_SW,2028,0.14539013710211
MT_SW,2029,0.14539013710211
MT_SW,2030,0.14539013710211
MT_SW,2031,0.14539013710211
MT_SW,2032,0.14539013710211
MT_SW,2033,0.14539013710211
MT_SW,2034,0.14539013710211
MT_SW,2035,0.14539013710211
NM_N,2010,0
NM_N,2011,0.1
NM_N,2012,0.1
NM_N,2013,0.1
NM_N,2014,0.1
NM_N,2015,0.15
NM_N,2016,0.15
NM_N,2017,0.15
NM_N,2018,0.15
NM_N,2019,0.15
NM_N,2020,0.2
NM_N,2021,0.2
NM_N,2022,0.2
NM_N,2023,0.2
NM_N,2024,0.2
NM_N,2025,0.2
NM_N,2026,0.2
NM_N,2027,0.2
NM_N,2028,0.2
NM_N,2029,0.2
NM_N,2030,0.2
NM_N,2031,0.2
NM_N,2032,0.2
NM_N,2033,0.2
NM_N,2034,0.2
NM_N,2035,0.2
NM_S_TX_EPE,2010,0.0184511738641447
NM_S_TX_EPE,2011,0.0565484657511149
NM_S_TX_EPE,2012,0.0565484657511149
NM_S_TX_EPE,2013,0.0611985623900978
NM_S_TX_EPE,2014,0.0611985623900978
NM_S_TX_EPE,2015,0.0802482648829976
NM_S_TX_EPE,2016,0.0802482648829976
NM_S_TX_EPE,2017,0.0802482648829976
NM_S_TX_EPE,2018,0.0802482648829976
NM_S_TX_EPE,2019,0.0802482648829976
NM_S_TX_EPE,2020,0.0968296041754437
NM_S_TX_EPE,2021,0.0968296041754437
NM_S_TX_EPE,2022,0.0968296041754437
NM_S_TX_EPE,2023,0.0968296041754437
NM_S_TX_EPE,2024,0.0968296041754437
NM_S_TX_EPE,2025,0.111469709971291
NM_S_TX_EPE,2026,0.111469709971291
NM_S_TX_EPE,2027,0.111469709971291
NM_S_TX_EPE,2028,0.111469709971291
NM_S_TX_EPE,2029,0.111469709971291
NM_S_TX_EPE,2030,0.111469709971291
NM_S_TX_EPE,2031,0.111469709971291
NM_S_TX_EPE,2032,0.111469709971291
NM_S_TX_EPE,2033,0.111469709971291
NM_S_TX_EPE,2034,0.111469709971291
NM_S_TX_EPE,2035,0.111469709971291
NV_N,2010,0.122290151517531
NV_N,2011,0.15126472661828
NV_N,2012,0.15126472661828
NV_N,2013,0.18023930171903
NV_N,2014,0.18023930171903
NV_N,2015,0.199555685119529
NV_N,2016,0.199555685119529
NV_N,2017,0.199555685119529
NV_N,2018,0.199555685119529
NV_N,2019,0.199555685119529
NV_N,2020,0.223026771744475
NV_N,2021,0.223026771744475
NV_N,2022,0.223026771744475
NV_N,2023,0.223026771744475
NV_N,2024,0.223026771744475
NV_N,2025,0.252445661725695
NV_N,2026,0.252445661725695
NV_N,2027,0.252445661725695
NV_N,2028,0.252445661725695
NV_N,2029,0.252445661725695
NV_N,2030,0.252445661725695
NV_N,2031,0.252445661725695
NV_N,2032,0.252445661725695
NV_N,2033,0.252445661725695
NV_N,2034,0.252445661725695
NV_N,2035,0.252445661725695
NV_S,2010,0.120099153884335
NV_S,2011,0.150061971177709
NV_S,2012,0.150061971177709
NV_S,2013,0.180024788471084
NV_S,2014,0.180024788471084
NV_S,2015,0.2
NV_S,2016,0.2
NV_S,2017,0.2
NV_S,2018,0.2
NV_S,2019,0.2
NV_S,2020,0.22013633659096
NV_S,2021,0.22013633659096
NV_S,2022,0.22013633659096
NV_S,2023,0.22013633659096
NV_S,2024,0.22013633659096
NV_S,2025,0.250099153884335
NV_S,2026,0.250099153884335
NV_S,2027,0.250099153884335
NV_S,2028,0.250099153884335
NV_S,2029,0.250099153884335
NV_S,2030,0.250099153884335
NV_S,2031,0.250099153884335
NV_S,2032,0.250099153884335
NV_S,2033,0.250099153884335
NV_S,2034,0.250099153884335
NV_S,2035,0.250099153884335
OR_E,2010,0.0139459242901272
OR_E,2011,0.0604594432175954
OR_E,2012,0.0604594432175954
OR_E,2013,0.0604594432175954
