breakpoint_id,load_area,year,price_dollars_per_mmbtu,breakpoint_mmbtu_per_year
9,AZ_APS_E,2038,999999999.0000,
1,AZ_APS_E,2039,1.8640,681448
2,AZ_APS_E,2039,3.8482,996270
3,AZ_APS_E,2039,4.4504,4126082
4,AZ_APS_E,2039,4.7604,7228078
5,AZ_APS_E,2039,565.1593,7252959
6,AZ_APS_E,2039,1213.9689,7263336
7,AZ_APS_E,2039,1248.8130,7271113
8,AZ_APS_E,2039,1634.5481,7280030
9,AZ_APS_E,2039,999999999.0000,
1,AZ_APS_E,2040,1.8640,681448
2,AZ_APS_E,2040,3.8482,996270
3,AZ_APS_E,2040,4.4504,4126082
4,AZ_APS_E,2040,4.7604,7228078
5,AZ_APS_E,2040,565.1593,7252959
6,AZ_APS_E,2040,1213.9689,7263336
7,AZ_APS_E,2040,1248.8130,7271113
8,AZ_APS_E,2040,1634.5481,7280030
9,AZ_APS_E,2040,999999999.0000,
1,AZ_APS_E,2041,1.8640,681448
2,AZ_APS_E,2041,3.8482,996270
3,AZ_APS_E,2041,4.4504,4126082
4,AZ_APS_E,2041,4.7604,7228078
5,AZ_APS_E,2041,565.1593,7252959
6,AZ_APS_E,2041,1213.9689,7263336
7,AZ_APS_E,2041,1248.8130,7271113
8,AZ_APS_E,2041,1634.5481,7280030
9,AZ_APS_E,2041,999999999.0000,
1,AZ_APS_E,2042,1.8640,681448
2,AZ_APS_E,2042,3.8482,996270
3,AZ_APS_E,2042,4.4504,4126082
4,AZ_APS_E,2042,4.7604,7228078
5,AZ_APS_E,2042,565.1593,7252959
6,AZ_APS_E,2042,1213.9689,7263336
7,AZ_APS_E,2042,1248.8130,7271113
8,AZ_APS_E,2042,1634.5481,7280030
9,AZ_APS_E,2042,999999999.0000,
1,AZ_APS_E,2043,1.8640,681448
2,AZ_APS_E,2043,3.8482,996270
3,AZ_APS_E,2043,4.4504,4126082
4,AZ_APS_E,2043,4.7604,7228078
5,AZ_APS_E,2043,565.1593,7252959
6,AZ_APS_E,2043,1213.9689,7263336
7,AZ_APS_E,2043,1248.8130,7271113
8,AZ_APS_E,2043,1634.5481,7280030
9,AZ_APS_E,2043,999999999.0000,
1,AZ_APS_E,2044,1.8640,681448
2,AZ_APS_E,2044,3.8482,996270
3,AZ_APS_E,2044,4.4504,4126082
4,AZ_APS_E,2044,4.7604,7228078
5,AZ_APS_E,2044,565.1593,7252959
6,AZ_APS_E,2044,1213.9689,7263336
7,AZ_APS_E,2044,1248.8130,7271113
8,AZ_APS_E,2044,1634.5481,7280030
9,AZ_APS_E,2044,999999999.0000,
1,AZ_APS_E,2045,1.8640,681448
2,AZ_APS_E,2045,3.8482,996270
3,AZ_APS_E,2045,4.4504,4126082
4,AZ_APS_E,2045,4.7604,7228078
5,AZ_APS_E,2045,565.1593,7252959
6,AZ_APS_E,2045,1213.9689,7263336
7,AZ_APS_E,2045,1248.8130,7271113
8,AZ_APS_E,2045,1634.5481,7280030
9,AZ_APS_E,2045,999999999.0000,
1,AZ_APS_E,2046,1.8640,681448
2,AZ_APS_E,2046,3.8482,996270
3,AZ_APS_E,2046,4.4504,4126082
4,AZ_APS_E,2046,4.7604,7228078
5,AZ_APS_E,2046,565.1593,7252959
6,AZ_APS_E,2046,1213.9689,7263336
7,AZ_APS_E,2046,1248.8130,7271113
8,AZ_APS_E,2046,1634.5481,7280030
9,AZ_APS_E,2046,999999999.0000,
1,AZ_APS_E,2047,1.8640,681448
2,AZ_APS_E,2047,3.8482,996270
3,AZ_APS_E,2047,4.4504,4126082
4,AZ_APS_E,2047,4.7604,7228078
5,AZ_APS_E,2047,565.1593,7252959
6,AZ_APS_E,2047,1213.9689,7263336
7,AZ_APS_E,2047,1248.8130,7271113
8,AZ_APS_E,2047,1634.5481,7280030
9,AZ_APS_E,2047,999999999.0000,
1,AZ_APS_E,2048,1.8640,681448
2,AZ_APS_E,2048,3.8482,996270
3,AZ_APS_E,2048,4.4504,4126082
