ampl.tab 1 5
hour	period	date	hours_in_sample	month_of_year	hour_of_day
2016122505	2014	20161225	8.0	12	5
2016122507	2014	20161225	8.0	12	7
2016122509	2014	20161225	8.0	12	9
2016122511	2014	20161225	8.0	12	11
2016122513	2014	20161225	8.0	12	13
2016122515	2014	20161225	8.0	12	15
2016122517	2014	20161225	8.0	12	17
2016122519	2014	20161225	8.0	12	19
2016122521	2014	20161225	8.0	12	21
2016122523	2014	20161225	8.0	12	23
2020010800	2018	20200108	8.0	1	0
2020010802	2018	20200108	8.0	1	2
2020010804	2018	20200108	8.0	1	4
2020010806	2018	20200108	8.0	1	6
2020010808	2018	20200108	8.0	1	8
2020010810	2018	20200108	8.0	1	10
2020010812	2018	20200108	8.0	1	12
2020010814	2018	20200108	8.0	1	14
2020010816	2018	20200108	8.0	1	16
2020010818	2018	20200108	8.0	1	18
2020010820	2018	20200108	8.0	1	20
2020010822	2018	20200108	8.0	1	22
2020011800	2018	20200118	240.0	1	0
2020011802	2018	20200118	240.0	1	2
2020011804	2018	20200118	240.0	1	4
2020011806	2018	20200118	240.0	1	6
2020011808	2018	20200118	240.0	1	8
2020011810	2018	20200118	240.0	1	10
2020011812	2018	20200118	240.0	1	12
2020011814	2018	20200118	240.0	1	14
2020011816	2018	20200118	240.0	1	16
2020011818	2018	20200118	240.0	1	18
2020011820	2018	20200118	240.0	1	20
2020011822	2018	20200118	240.0	1	22
2020022001	2018	20200220	8.0	2	1
2020022003	2018	20200220	8.0	2	3
2020022005	2018	20200220	8.0	2	5
2020022007	2018	20200220	8.0	2	7
2020022009	2018	20200220	8.0	2	9
2020022011	2018	20200220	8.0	2	11
2020022013	2018	20200220	8.0	2	13
2020022015	2018	20200220	8.0	2	15
2020022017	2018	20200220	8.0	2	17
2020022019	2018	20200220	8.0	2	19
2020022021	2018	20200220	8.0	2	21
2020022023	2018	20200220	8.0	2	23
2020022100	2018	20200221	226.0	2	0
2020022102	2018	20200221	226.0	2	2
2020022104	2018	20200221	226.0	2	4
2020022106	2018	20200221	226.0	2	6
