ampl.tab 4 1
project_id	la_id	technology	date	average_output_mw
SIC64	S18	Hydro_NonPumped	20240403	140.7
SIC64	S18	Hydro_NonPumped	20240515	139.9
SIC64	S18	Hydro_NonPumped	20240520	139.9
SIC64	S18	Hydro_NonPumped	20240614	128.3
SIC64	S18	Hydro_NonPumped	20240630	128.3
SIC64	S18	Hydro_NonPumped	20240710	134.4
SIC64	S18	Hydro_NonPumped	20240711	134.4
SIC64	S18	Hydro_NonPumped	20240827	110.3
SIC64	S18	Hydro_NonPumped	20240810	110.3
SIC64	S18	Hydro_NonPumped	20240921	101.6
SIC64	S18	Hydro_NonPumped	20240930	101.6
SIC64	S18	Hydro_NonPumped	20241004	88.6
SIC64	S18	Hydro_NonPumped	20241001	88.6
SIC64	S18	Hydro_NonPumped	20241113	61.7
SIC64	S18	Hydro_NonPumped	20241116	61.7
SIC64	S18	Hydro_NonPumped	20241225	81.0
SIC64	S18	Hydro_NonPumped	20241207	81.0
SIC64	S18	Hydro_NonPumped	20280116	103.7
SIC64	S18	Hydro_NonPumped	20280118	103.7
SIC64	S18	Hydro_NonPumped	20280221	142.5
SIC64	S18	Hydro_NonPumped	20280220	142.5
SIC64	S18	Hydro_NonPumped	20280325	141.0
SIC64	S18	Hydro_NonPumped	20280306	141.0
SIC64	S18	Hydro_NonPumped	20280421	138.4
SIC64	S18	Hydro_NonPumped	20280403	138.4
SIC64	S18	Hydro_NonPumped	20280520	131.9
SIC64	S18	Hydro_NonPumped	20280515	131.9
SIC64	S18	Hydro_NonPumped	20280630	112.0
SIC64	S18	Hydro_NonPumped	20280614	112.0
SIC64	S18	Hydro_NonPumped	20280710	121.9
SIC64	S18	Hydro_NonPumped	20280711	121.9
SIC64	S18	Hydro_NonPumped	20280827	87.0
SIC64	S18	Hydro_NonPumped	20280810	87.0
SIC64	S18	Hydro_NonPumped	20280930	85.4
SIC64	S18	Hydro_NonPumped	20280921	85.4
SIC64	S18	Hydro_NonPumped	20281001	98.6
SIC64	S18	Hydro_NonPumped	20281004	98.6
SIC64	S18	Hydro_NonPumped	20281113	92.7
SIC64	S18	Hydro_NonPumped	20281116	92.7
SIC64	S18	Hydro_NonPumped	20281225	88.7
SIC64	S18	Hydro_NonPumped	20281207	88.7
SIC65	S8	Hydro_NonPumped	20160108	89.1
SIC65	S8	Hydro_NonPumped	20160118	89.1
SIC65	S8	Hydro_NonPumped	20160221	82.9
SIC65	S8	Hydro_NonPumped	20160220	82.9
SIC65	S8	Hydro_NonPumped	20160306	62.0
SIC65	S8	Hydro_NonPumped	20160325	62.0
SIC65	S8	Hydro_NonPumped	20160403	83.0
SIC65	S8	Hydro_NonPumped	20160421	83.0
SIC65	S8	Hydro_NonPumped	20160520	71.6
SIC65	S8	Hydro_NonPumped	20160515	71.6
SIC65	S8	Hydro_NonPumped	20160630	48.6
SIC65	S8	Hydro_NonPumped	20160614	48.6
SIC65	S8	Hydro_NonPumped	20160711	37.5
SIC65	S8	Hydro_NonPumped	20160710	37.5
SIC65	S8	Hydro_NonPumped	20160827	56.8
SIC65	S8	Hydro_NonPumped	20160810	56.8
SIC65	S8	Hydro_NonPumped	20160921	48.1
SIC65	S8	Hydro_NonPumped	20160930	48.1
SIC65	S8	Hydro_NonPumped	20161001	60.3
SIC65	S8	Hydro_NonPumped	20161004	60.3
SIC65	S8	Hydro_NonPumped	20161116	68.9
SIC65	S8	Hydro_NonPumped	20161113	68.9
SIC65	S8	Hydro_NonPumped	20161225	93.0
SIC65	S8	Hydro_NonPumped	20161207	93.0
SIC65	S8	Hydro_NonPumped	20200108	55.8
SIC65	S8	Hydro_NonPumped	20200118	55.8
SIC65	S8	Hydro_NonPumped	20200220	37.5
SIC65	S8	Hydro_NonPumped	20200221	37.5
SIC65	S8	Hydro_NonPumped	20200325	21.3
SIC65	S8	Hydro_NonPumped	20200306	21.3
SIC65	S8	Hydro_NonPumped	20200403	52.3
SIC65	S8	Hydro_NonPumped	20200421	52.3
SIC65	S8	Hydro_NonPumped	20200515	73.4
SIC65	S8	Hydro_NonPumped	20200520	73.4
SIC65	S8	Hydro_NonPumped	20200630	55.2
SIC65	S8	Hydro_NonPumped	20200614	55.2
SIC65	S8	Hydro_NonPumped	20200711	47.6
SIC65	S8	Hydro_NonPumped	20200710	47.6
SIC65	S8	Hydro_NonPumped	20200827	37.5
SIC65	S8	Hydro_NonPumped	20200810	37.5
SIC65	S8	Hydro_NonPumped	20200921	33.0
SIC65	S8	Hydro_NonPumped	20200930	33.0
SIC65	S8	Hydro_NonPumped	20201004	32.7
SIC65	S8	Hydro_NonPumped	20201001	32.7
SIC65	S8	Hydro_NonPumped	20201116	34.7
SIC65	S8	Hydro_NonPumped	20201113	34.7
SIC65	S8	Hydro_NonPumped	20201207	53.7
SIC65	S8	Hydro_NonPumped	20201225	53.7
SIC65	S8	Hydro_NonPumped	20240116	89.7
SIC65	S8	Hydro_NonPumped	20240118	89.7
SIC65	S8	Hydro_NonPumped	20240220	86.6
SIC65	S8	Hydro_NonPumped	20240221	86.6
SIC65	S8	Hydro_NonPumped	20240325	82.7
SIC65	S8	Hydro_NonPumped	20240306	82.7
SIC65	S8	Hydro_NonPumped	20240421	65.2
SIC65	S8	Hydro_NonPumped	20240403	65.2
SIC65	S8	Hydro_NonPumped	20240515	58.6
SIC65	S8	Hydro_NonPumped	20240520	58.6
SIC65	S8	Hydro_NonPumped	20240614	56.1
SIC65	S8	Hydro_NonPumped	20240630	56.1
SIC65	S8	Hydro_NonPumped	20240710	54.1
SIC65	S8	Hydro_NonPumped	20240711	54.1
SIC65	S8	Hydro_NonPumped	20240827	57.6
SIC65	S8	Hydro_NonPumped	20240810	57.6
SIC65	S8	Hydro_NonPumped	20240921	47.1
SIC65	S8	Hydro_NonPumped	20240930	47.1
SIC65	S8	Hydro_NonPumped	20241004	61.7
SIC65	S8	Hydro_NonPumped	20241001	61.7
SIC65	S8	Hydro_NonPumped	20241113	63.0
SIC65	S8	Hydro_NonPumped	20241116	63.0
SIC65	S8	Hydro_NonPumped	20241225	74.8
SIC65	S8	Hydro_NonPumped	20241207	74.8
SIC65	S8	Hydro_NonPumped	20280116	85.5
SIC65	S8	Hydro_NonPumped	20280118	85.5
SIC65	S8	Hydro_NonPumped	20280221	75.1
SIC65	S8	Hydro_NonPumped	20280220	75.1
SIC65	S8	Hydro_NonPumped	20280325	64.5
SIC65	S8	Hydro_NonPumped	20280306	64.5
SIC65	S8	Hydro_NonPumped	20280421	59.3
SIC65	S8	Hydro_NonPumped	20280403	59.3
SIC65	S8	Hydro_NonPumped	20280520	45.3
SIC65	S8	Hydro_NonPumped	20280515	45.3
SIC65	S8	Hydro_NonPumped	20280630	28.6
SIC65	S8	Hydro_NonPumped	20280614	28.6
SIC65	S8	Hydro_NonPumped	20280710	16.2
SIC65	S8	Hydro_NonPumped	20280711	16.2
SIC65	S8	Hydro_NonPumped	20280827	32.0
SIC65	S8	Hydro_NonPumped	20280810	32.0
SIC65	S8	Hydro_NonPumped	20280930	56.0
SIC65	S8	Hydro_NonPumped	20280921	56.0
SIC65	S8	Hydro_NonPumped	20281001	65.7
SIC65	S8	Hydro_NonPumped	20281004	65.7
SIC65	S8	Hydro_NonPumped	20281113	77.8
SIC65	S8	Hydro_NonPumped	20281116	77.8
SIC65	S8	Hydro_NonPumped	20281225	84.3
SIC65	S8	Hydro_NonPumped	20281207	84.3
SIC66	S4	Hydro_NonPumped	20160108	485.6
SIC66	S4	Hydro_NonPumped	20160118	485.6
SIC66	S4	Hydro_NonPumped	20160221	293.5
SIC66	S4	Hydro_NonPumped	20160220	293.5
SIC66	S4	Hydro_NonPumped	20160306	396.3
SIC66	S4	Hydro_NonPumped	20160325	396.3
SIC66	S4	Hydro_NonPumped	20160403	374.0
SIC66	S4	Hydro_NonPumped	20160421	374.0
SIC66	S4	Hydro_NonPumped	20160520	433.4
SIC66	S4	Hydro_NonPumped	20160515	433.4
SIC66	S4	Hydro_NonPumped	20160630	430.0
SIC66	S4	Hydro_NonPumped	20160614	430.0
SIC66	S4	Hydro_NonPumped	20160711	501.3
SIC66	S4	Hydro_NonPumped	20160710	501.3
SIC66	S4	Hydro_NonPumped	20160827	461.9
SIC66	S4	Hydro_NonPumped	20160810	461.9
SIC66	S4	Hydro_NonPumped	20160921	503.9
SIC66	S4	Hydro_NonPumped	20160930	503.9
SIC66	S4	Hydro_NonPumped	20161001	517.6
SIC66	S4	Hydro_NonPumped	20161004	517.6
SIC66	S4	Hydro_NonPumped	20161116	515.8
SIC66	S4	Hydro_NonPumped	20161113	515.8
SIC66	S4	Hydro_NonPumped	20161225	512.3
SIC66	S4	Hydro_NonPumped	20161207	512.3
SIC66	S4	Hydro_NonPumped	20200108	248.5
SIC66	S4	Hydro_NonPumped	20200118	248.5
SIC66	S4	Hydro_NonPumped	20200220	171.7
SIC66	S4	Hydro_NonPumped	20200221	171.7
SIC66	S4	Hydro_NonPumped	20200325	151.3
SIC66	S4	Hydro_NonPumped	20200306	151.3
SIC66	S4	Hydro_NonPumped	20200403	303.8
SIC66	S4	Hydro_NonPumped	20200421	303.8
SIC66	S4	Hydro_NonPumped	20200515	228.1
SIC66	S4	Hydro_NonPumped	20200520	228.1
SIC66	S4	Hydro_NonPumped	20200630	309.9
SIC66	S4	Hydro_NonPumped	20200614	309.9
SIC66	S4	Hydro_NonPumped	20200711	369.2
SIC66	S4	Hydro_NonPumped	20200710	369.2
SIC66	S4	Hydro_NonPumped	20200827	410.1
SIC66	S4	Hydro_NonPumped	20200810	410.1
SIC66	S4	Hydro_NonPumped	20200921	364.0
SIC66	S4	Hydro_NonPumped	20200930	364.0
SIC66	S4	Hydro_NonPumped	20201004	365.6
SIC66	S4	Hydro_NonPumped	20201001	365.6
SIC66	S4	Hydro_NonPumped	20201116	373.9
SIC66	S4	Hydro_NonPumped	20201113	373.9
SIC66	S4	Hydro_NonPumped	20201207	336.6
SIC66	S4	Hydro_NonPumped	20201225	336.6
SIC66	S4	Hydro_NonPumped	20240116	481.6
SIC66	S4	Hydro_NonPumped	20240118	481.6
SIC66	S4	Hydro_NonPumped	20240220	317.8
SIC66	S4	Hydro_NonPumped	20240221	317.8
SIC66	S4	Hydro_NonPumped	20240325	399.9
SIC66	S4	Hydro_NonPumped	20240306	399.9
SIC66	S4	Hydro_NonPumped	20240421	409.8
SIC66	S4	Hydro_NonPumped	20240403	409.8
SIC66	S4	Hydro_NonPumped	20240515	409.0
SIC66	S4	Hydro_NonPumped	20240520	409.0
SIC66	S4	Hydro_NonPumped	20240614	501.7
SIC66	S4	Hydro_NonPumped	20240630	501.7
SIC66	S4	Hydro_NonPumped	20240710	515.2
SIC66	S4	Hydro_NonPumped	20240711	515.2
SIC66	S4	Hydro_NonPumped	20240827	552.8
SIC66	S4	Hydro_NonPumped	20240810	552.8
SIC66	S4	Hydro_NonPumped	20240921	550.7
SIC66	S4	Hydro_NonPumped	20240930	550.7
SIC66	S4	Hydro_NonPumped	20241004	554.5
SIC66	S4	Hydro_NonPumped	20241001	554.5
SIC66	S4	Hydro_NonPumped	20241113	561.0
SIC66	S4	Hydro_NonPumped	20241116	561.0
SIC66	S4	Hydro_NonPumped	20241225	544.7
SIC66	S4	Hydro_NonPumped	20241207	544.7
SIC66	S4	Hydro_NonPumped	20280116	483.5
SIC66	S4	Hydro_NonPumped	20280118	483.5
SIC66	S4	Hydro_NonPumped	20280221	274.4
SIC66	S4	Hydro_NonPumped	20280220	274.4
SIC66	S4	Hydro_NonPumped	20280325	373.7
SIC66	S4	Hydro_NonPumped	20280306	373.7
SIC66	S4	Hydro_NonPumped	20280421	419.5
SIC66	S4	Hydro_NonPumped	20280403	419.5
SIC66	S4	Hydro_NonPumped	20280520	325.9
SIC66	S4	Hydro_NonPumped	20280515	325.9
SIC66	S4	Hydro_NonPumped	20280630	449.8
SIC66	S4	Hydro_NonPumped	20280614	449.8
SIC66	S4	Hydro_NonPumped	20280710	555.2
SIC66	S4	Hydro_NonPumped	20280711	555.2
SIC66	S4	Hydro_NonPumped	20280827	559.2
SIC66	S4	Hydro_NonPumped	20280810	559.2
SIC66	S4	Hydro_NonPumped	20280930	535.5
SIC66	S4	Hydro_NonPumped	20280921	535.5
SIC66	S4	Hydro_NonPumped	20281001	540.0
SIC66	S4	Hydro_NonPumped	20281004	540.0
SIC66	S4	Hydro_NonPumped	20281113	551.7
SIC66	S4	Hydro_NonPumped	20281116	551.7
SIC66	S4	Hydro_NonPumped	20281225	552.8
SIC66	S4	Hydro_NonPumped	20281207	552.8
SIC67	S11	Hydro_NonPumped	20160108	366.9
SIC67	S11	Hydro_NonPumped	20160118	366.9
SIC67	S11	Hydro_NonPumped	20160221	265.0
SIC67	S11	Hydro_NonPumped	20160220	265.0
SIC67	S11	Hydro_NonPumped	20160306	170.7
SIC67	S11	Hydro_NonPumped	20160325	170.7
SIC67	S11	Hydro_NonPumped	20160403	165.6
SIC67	S11	Hydro_NonPumped	20160421	165.6
SIC67	S11	Hydro_NonPumped	20160520	186.4
SIC67	S11	Hydro_NonPumped	20160515	186.4
SIC67	S11	Hydro_NonPumped	20160630	369.2
SIC67	S11	Hydro_NonPumped	20160614	369.2
SIC67	S11	Hydro_NonPumped	20160711	366.7
SIC67	S11	Hydro_NonPumped	20160710	366.7
SIC67	S11	Hydro_NonPumped	20160827	351.4
SIC67	S11	Hydro_NonPumped	20160810	351.4
SIC67	S11	Hydro_NonPumped	20160921	385.2
SIC67	S11	Hydro_NonPumped	20160930	385.2
SIC67	S11	Hydro_NonPumped	20161001	450.0
SIC67	S11	Hydro_NonPumped	20161004	450.0
SIC67	S11	Hydro_NonPumped	20161116	428.8
SIC67	S11	Hydro_NonPumped	20161113	428.8
SIC67	S11	Hydro_NonPumped	20161225	407.4
SIC67	S11	Hydro_NonPumped	20161207	407.4
SIC67	S11	Hydro_NonPumped	20200108	216.5
SIC67	S11	Hydro_NonPumped	20200118	216.5
SIC67	S11	Hydro_NonPumped	20200220	179.0
SIC67	S11	Hydro_NonPumped	20200221	179.0
SIC67	S11	Hydro_NonPumped	20200325	147.7
SIC67	S11	Hydro_NonPumped	20200306	147.7
SIC67	S11	Hydro_NonPumped	20200403	221.6
SIC67	S11	Hydro_NonPumped	20200421	221.6
SIC67	S11	Hydro_NonPumped	20200515	208.7
