ampl.tab 2 1		
year	technology	finance_rate_schedule
2015	Coal_IGCC_CCS	0.07
2015	Nuclear_Existing	0.07
2015	Geothermal_Existing	0.07
2015	Residential_PV	0.07
2015	Commercial_PV	0.08
2015	Concentrating_PV	0.08
2015	CSP_Trough_No_Storage	0.08
2015	Offshore_Wind	0.07
2015	Hydro_Pumped	0.07
2015	Compressed_Air_Energy_Storage	0.07
2015	Coal_IGCC_Existing	0.07
2015	CCGT	0.07
2015	Gas_Combustion_Turbine	0.07
2015	CCGT_EP	0.07
2015	Gas_Combustion_Turbine_EP	0.07
2015	Coal_Steam_Turbine	0.07
2015	Bio_Liquid_Steam_Turbine_Cogen_EP	0.07
2015	Bio_Solid_Steam_Turbine_EP	0.07
2015	Bio_Solid_Steam_Turbine_Cogen_EP	0.07
2015	Central_PV	0.08
2015	CSP_Trough_6h_Storage	0.08
2015	Wind	0.08
2015	Wind_EP	0.07
2015	Nuclear	0.07
2015	DistillateFuelOil_Internal_Combustion_Engine	0.07
2015	DistillateFuelOil_Combustion_Turbine_EP	0.07
2015	DistillateFuelOil_Internal_Combustion_Engine_EP	0.07
2015	Coal_Steam_Turbine_EP	0.07
2015	Biomass_Steam_Turbine	0.07
2015	DistillateFuelOil_Combustion_Turbine	0.07
2015	Hydro_NonPumped	0.07
2015	Hydro_RoR_EP	0.07
2015	Hydro_RoR	0.07
2015	Hydro_NonPumped_New	0.07
2015	Hydro_RoR_RPS	0.07
2015	Geothermal	0.13
2016	Gas_Steam_Turbine_Cogen	0.07
2016	CCGT_Cogen	0.07
2016	CCGT_Cogen_CCS	0.07
2016	CCGT_CCS	0.07
2016	CCGT_Cogen_Existing	0.07
2016	Gas_Combustion_Turbine_Cogen	0.07
2016	Gas_Combustion_Turbine_Cogen_CCS	0.07
2016	Gas_Combustion_Turbine_CCS	0.07
2016	Gas_Combustion_Turbine_Cogen_Existing	0.07
2016	Gas_Internal_Combustion_Engine_Cogen	0.07
2016	Gas_Internal_Combustion_Engine_Cogen_CCS	0.07
2016	Gas_Internal_Combustion_Engine_Existing	0.07
2016	Gas_Internal_Combustion_Engine_Cogen_Existing	0.07
2016	Battery_Storage	0.07
2016	Gas_Steam_Turbine_Cogen_CCS	0.07
2016	Gas_Steam_Turbine_Existing	0.07
2016	Gas_Steam_Turbine_Cogen_Existing	0.07
2016	Bio_Gas	0.07
2016	Coal_Steam_Turbine_Cogen_CCS	0.07
2016	Bio_Gas_CCS	0.07
2016	Bio_Gas_Internal_Combustion_Engine_Cogen	0.07
2016	Bio_Gas_Internal_Combustion_Engine_Cogen_CCS	0.07
2016	Bio_Gas_Internal_Combustion_Engine_Cogen_Existing	0.07
2016	Bio_Gas_Steam_Turbine_Existing	0.07
2016	Bio_Liquid_Steam_Turbine_Cogen	0.07
2016	Bio_Liquid_Steam_Turbine_Cogen_CCS	0.07
2016	Biomass_IGCC	0.07
2016	Biomass_IGCC_CCS	0.07
2016	Bio_Solid_Steam_Turbine_Cogen	0.07
2016	Bio_Solid_Steam_Turbine_Cogen_CCS	0.07
2016	Bio_Gas_Internal_Combustion_Engine_EP	0.07
2016	Coal_Steam_Turbine_CCS	0.07
2016	Coal_Steam_Turbine_Cogen	0.07
2016	Coal_Steam_Turbine_Cogen_Existing	0.07
2016	Coal_IGCC	0.07
2016	Coal_IGCC_CCS	0.07
2016	Nuclear_Existing	0.07
2016	Geothermal_Existing	0.07
2016	Residential_PV	0.07
2016	Commercial_PV	0.08
2016	Concentrating_PV	0.08
2016	CSP_Trough_No_Storage	0.08
2016	Offshore_Wind	0.07
2016	Hydro_Pumped	0.07
2016	Compressed_Air_Energy_Storage	0.07
2016	Coal_IGCC_Existing	0.07
2016	CCGT	0.07
2016	Gas_Combustion_Turbine	0.07
2016	CCGT_EP	0.07
2016	Gas_Combustion_Turbine_EP	0.07
2016	Coal_Steam_Turbine	0.07
2016	Bio_Liquid_Steam_Turbine_Cogen_EP	0.07
