ampl.tab 2 1
province	hour	system_load
Xinjiang	2021021116	17913.7511924036
Chongqing	2021021116	15283.7227047055
Macau	2021021120	415.029750924823
Hong_Kong	2021021120	5035.37536424641
Taiwan	2021021120	27485.2555511597
Tibet	2021021120	576.042157465167
Jilin	2021021120	12623.5640409479
Jiangxi	2021021120	14690.3428295865
Hunan	2021021120	26551.3429274864
Zhejiang	2021021120	60966.674359701
East_Inner_Mongolia	2021021120	10639.8797102798
Henan	2021021120	55363.3660648231
Guizhou	2021021120	18964.8263303002
Guangxi	2021021120	23197.2925539246
Tianjin	2021021120	14654.0187559969
Guangdong	2021021120	83049.1874342323
Liaoning	2021021120	38635.3730764367
Hubei	2021021120	29858.4602537102
Beijing	2021021120	14026.8095301036
Heilongjiang	2021021120	16233.8348851224
West_Inner_Mongolia	2021021120	28377.1269767206
Jiangsu	2021021120	83270.5645425859
Hebei	2021021120	65787.6455938299
Hainan	2021021120	4221.39078992538
Shaanxi	2021021120	19224.1780628378
Gansu	2021021120	16908.3120526773
Shanxi	2021021120	37477.1147454422
Ningxia	2021021120	12030.145652297
Yunnan	2021021120	22021.0719266782
Anhui	2021021120	24290.722520194
Qinghai	2021021120	9473.32317636904
Sichuan	2021021120	33422.3338814644
Shandong	2021021120	73682.8031916679
Shanghai	2021021120	26435.2183208084
Fujian	2021021120	29903.8145135231
Xinjiang	2021021120	17669.7899812761
Chongqing	2021021120	15075.5789462302
Macau	2021021200	381.467181513734
Hong_Kong	2021021200	4628.17531461908
Taiwan	2021021200	25262.5816460681
Tibet	2021021200	529.45885867621
Jilin	2021021200	11602.7233821866
Jiangxi	2021021200	13502.3661850399
Hunan	2021021200	24404.1925413379
Zhejiang	2021021200	56036.4296353142
East_Inner_Mongolia	2021021200	9779.455365986
Henan	2021021200	50886.2489130007
Guizhou	2021021200	17431.181335787
Guangxi	2021021200	21321.3770568897
Tianjin	2021021200	13468.9795616896
Guangdong	2021021200	76333.1770480256
Liaoning	2021021200	35511.0129848728
Hubei	2021021200	27443.8703537325
Beijing	2021021200	12892.4914061109
Heilongjiang	2021021200	14921.0393351023
West_Inner_Mongolia	2021021200	26082.3293345729
Jiangsu	2021021200	76536.6518625109
Hebei	2021021200	60467.5392238292
Hainan	2021021200	3880.01593406869
Shaanxi	2021021200	17669.5598477162
Gansu	2021021200	15540.9729748695
Shanxi	2021021200	34446.420530947
Ningxia	2021021200	11057.2934710233
Yunnan	2021021200	20240.2748792406
Anhui	2021021200	22326.3836774657
Qinghai	2021021200	8707.23576708799
Sichuan	2021021200	30719.5411340105
Shandong	2021021200	67724.232291598
Shanghai	2021021200	24297.4586835478
Fujian	2021021200	27485.5569114356
Xinjiang	2021021200	16240.8718099777
Chongqing	2021021200	13856.4490798346
Macau	2021021204	353.63481599523
Hong_Kong	2021021204	4290.49733527354
Taiwan	2021021204	23419.3892552461
Tibet	2021021204	490.828818673265
Jilin	2021021204	10756.172869239
Jiangxi	2021021204	12517.2151439059
Hunan	2021021204	22623.6293896162
Zhejiang	2021021204	51947.9353491921
East_Inner_Mongolia	2021021204	9065.93297268879
Henan	2021021204	47173.5188322841
Guizhou	2021021204	16159.3785861198
Guangxi	2021021204	19765.7403249161
Tianjin	2021021204	12486.2644541025
Guangdong	2021021204	70763.804405381
Liaoning	2021021204	32920.0810745435
Hubei	2021021204	25441.5281656142
Beijing	2021021204	11951.8376601316
Heilongjiang	2021021204	13832.3799672306
West_Inner_Mongolia	2021021204	24179.3270350482
Jiangsu	2021021204	70952.433420057
Hebei	2021021204	56055.7451423467
Hainan	2021021204	3596.92468289973
Shaanxi	2021021204	16380.3646768991
Gansu	2021021204	14407.0824036457
Shanxi	2021021204	31933.1627371389
Ningxia	2021021204	10250.5382678373
Yunnan	2021021204	18763.5168357345
Anhui	2021021204	20697.42029259
Qinghai	2021021204	8071.94397720525
Sichuan	2021021204	28478.2015408908
Shandong	2021021204	62782.9799927237
Shanghai	2021021204	22524.6829795731
Fujian	2021021204	25480.1732152469
Xinjiang	2021021204	15055.9156657538
Chongqing	2021021204	12845.463668067
Macau	2021021208	366.732397513933
Hong_Kong	2021021208	4449.40459231602
Taiwan	2021021208	24286.7737604328
Tibet	2021021208	509.007657898157
Jilin	2021021208	11154.549512635
Jiangxi	2021021208	12980.8155540438
Hunan	2021021208	23461.5413167705
Zhejiang	2021021208	53871.9323290979
East_Inner_Mongolia	2021021208	9401.70815879063
Henan	2021021208	48920.6856283222
Guizhou	2021021208	16757.8738946986
Guangxi	2021021208	20497.8045433515
Tianjin	2021021208	12948.7185427686
Guangdong	2021021208	73384.6851978014
Liaoning	2021021208	34139.3429401002
Hubei	2021021208	26383.8066801652
Beijing	2021021208	12394.4981702721
Heilongjiang	2021021208	14344.690169801
West_Inner_Mongolia	2021021208	25074.8573747792
Jiangsu	2021021208	73580.3004700085
Hebei	2021021208	58131.8831762314
Hainan	2021021208	3730.1440722812
Shaanxi	2021021208	16987.0446528454
Gansu	2021021208	14940.6778747176
Shanxi	2021021208	33115.8720835662
Ningxia	2021021208	10630.1877098634
Yunnan	2021021208	19458.4616777517
Anhui	2021021208	21463.9911652744
Qinghai	2021021208	8370.90476803778
Sichuan	2021021208	29532.9494031401
Shandong	2021021208	65108.2747919012
