ampl.tab 2 2
load_area	hour	system_load	present_day_system_load
AZ_APS_N	2029121513	765	640
AZ_APS_SW	2029121513	647	541
AZ_NM_N	2029121513	454	379
AZ_NW	2029121513	585	489
AZ_PHX	2029121513	6758	5650
AZ_SE	2029121513	3191	2668
CAN_ALB	2029121513	10266	8582
CAN_BC	2029121513	9702	8111
CA_IID	2029121513	309	258
CA_LADWP	2029121513	3468	2899
CA_PGE_BAY	2029121513	5485	4585
CA_PGE_CEN	2029121513	4350	3637
CA_PGE_N	2029121513	4049	3385
CA_PGE_S	2029121513	1548	1294
CA_SCE_CEN	2029121513	2148	1796
CA_SCE_S	2029121513	11125	9301
CA_SCE_SE	2029121513	34	29
CA_SCE_VLY	2029121513	451	377
CA_SDGE	2029121513	2767	2313
CA_SMUD	2029121513	1968	1645
CO_DEN	2029121513	5959	4982
CO_E	2029121513	3395	2839
CO_NW	2029121513	1080	903
CO_SW	2029121513	1042	871
ID_E	2029121513	1620	1354
ID_S_OR_E	2029121513	3333	2787
MEX_BAJA	2029121513	1202	1005
MT_NE	2029121513	454	379
MT_NW	2029121513	765	639
