ampl.tab 4 1
project_id	la_id	technology	date	average_output_cf
104	1	Hydro_NonPumped_New	20200930	0.401
102	1	Hydro_NonPumped_New	20200921	0.401
102	1	Hydro_NonPumped_New	20200930	0.401
103	1	Hydro_NonPumped_New	20200921	0.623
103	1	Hydro_NonPumped_New	20200930	0.623
108	S18	Hydro_NonPumped_New	20200921	0.851
108	S18	Hydro_NonPumped_New	20200930	0.851
105	1	Hydro_NonPumped_New	20200921	0.449
105	1	Hydro_NonPumped_New	20200930	0.449
97	1	Hydro_NonPumped_New	20200921	0.384
97	1	Hydro_NonPumped_New	20200930	0.384
99	1	Hydro_NonPumped_New	20200921	0.401
99	1	Hydro_NonPumped_New	20200930	0.401
106	S1	Hydro_NonPumped_New	20200921	0.325
106	S1	Hydro_NonPumped_New	20200930	0.325
98	1	Hydro_NonPumped_New	20201001	0.855
98	1	Hydro_NonPumped_New	20201004	0.855
