ampl.tab 2
location_id	load_area
4824	AZ_APS_N
9732	NM_N
7031	AZ_NM_N
7018	AZ_NM_N
7886	AZ_NM_N
3210	NV_S
5947	AZ_APS_N
7983	AZ_NM_N
10013	NM_N
8279	NM_N
4743	AZ_APS_N
6718	AZ_NM_N
4809	AZ_APS_N
4836	AZ_APS_N
7900	AZ_NM_N
5040	AZ_APS_N
4971	AZ_APS_N
2044	CA_SCE_CEN
5217	AZ_APS_N
5119	AZ_APS_N
10527	NM_N
10435	NM_N
10188	NM_N
1422	CA_SCE_VLY
1483	CA_SCE_VLY
6194	AZ_NM_N
6306	AZ_NM_N
6338	AZ_NM_N
6168	AZ_NM_N
9996	NM_N
8313	NM_N
8058	NM_N
8241	NM_N
7957	AZ_NM_N
7440	AZ_NM_N
7441	AZ_NM_N
7442	AZ_NM_N
3489	NV_S
5855	AZ_APS_N
5899	AZ_APS_N
5758	AZ_APS_N
5812	AZ_APS_N
5853	AZ_APS_N
5774	AZ_APS_N
10528	NM_N
6746	AZ_NM_N
6020	AZ_NM_N
9985	NM_N
6783	UT_S
6747	AZ_NM_N
543	CA_PGE_CEN
7526	AZ_NM_N
4837	UT_S
7850	AZ_NM_N
4888	UT_S
10256	NM_N
934	CA_PGE_CEN
6538	AZ_NM_N
3845	NV_S
800	CA_PGE_CEN
799	CA_PGE_CEN
869	CA_PGE_CEN
911	CA_PGE_CEN
2809	NV_S
2657	NV_S
4564	UT_S
4901	UT_S
10272	NM_N
763	CA_PGE_CEN
6585	AZ_NM_N
5042	UT_S
4946	UT_S
1893	CA_SCE_CEN
1853	CA_SCE_CEN
4641	UT_S
4694	UT_S
3638	NV_S
4162	UT_S
4147	UT_S
4617	UT_S
752	CA_PGE_CEN
742	CA_PGE_CEN
4733	UT_S
1960	CA_SCE_CEN
9040	CO_SW
6779	UT_S
1181	CA_PGE_CEN
1029	CA_PGE_CEN
6307	AZ_NM_N
2564	NV_N
9303	CO_SW
9304	CO_SW
10810	CO_E
3677	NV_S
3140	NV_S
10865	CO_E
10866	CO_E
1759	CA_SCE_CEN
2381	NV_N
1784	CA_SCE_CEN
3593	UT_S
10399	CO_E
1927	NV_N
10230	CO_E
3211	NV_S
2139	NV_N
4592	UT_S
2310	NV_N
466	CA_PGE_BAY
3732	UT_S
3731	UT_S
2106	NV_N
531	CA_PGE_CEN
532	CA_PGE_CEN
530	CA_PGE_BAY
3422	NV_N
3396	NV_N
2584	NV_N
2523	NV_N
2457	NV_N
9310	CO_SW
9128	CO_SW
8935	CO_SW
8937	CO_SW
8881	CO_SW
8995	CO_SW
8971	CO_SW
8964	CO_SW
3343	NV_N
3371	NV_N
2682	NV_N
4111	UT_S
4120	UT_S
2107	NV_N
2873	NV_N
2948	NV_N
2184	NV_N
539	CA_SMUD
2212	NV_N
2255	NV_N
2256	NV_N
541	CA_SMUD
3153	NV_N
3060	NV_N
3061	NV_N
2874	NV_N
1897	NV_N
568	CA_SMUD
3752	NV_N
3719	NV_N
3850	NV_N
3873	NV_N
2394	NV_N
3064	NV_N
3025	NV_N
2999	NV_N
2978	NV_N
3271	NV_N
2160	NV_N
2147	NV_N
3493	NV_N
3536	NV_N
3538	NV_N
7277	CO_NW
7253	CO_NW
3915	NV_N
3905	NV_N
2132	NV_N
6935	CO_NW
7448	CO_NW
10315	CO_DEN
9101	CO_NW
10061	CO_DEN
2524	NV_N
10031	CO_DEN
848	CA_PGE_N
891	CA_PGE_N
871	CA_PGE_N
10388	CO_DEN
1047	CA_PGE_N
10409	CO_DEN
7039	UT_N
6748	UT_N
6781	UT_N
7020	UT_N
6749	UT_N
6709	UT_N
6750	UT_N
6614	UT_N
801	CA_PGE_N
4660	UT_N
4907	UT_N
4784	UT_N
640	OR_E
612	CA_PGE_N
246	OR_W
222	OR_W
223	OR_W
383	OR_W
8838	WY_SE
7667	WY_NW
2952	ID_S_OR_E
6429	ID_E
6368	ID_E
6499	ID_E
2686	ID_S_OR_E
3296	ID_S_OR_E
4408	ID_E
4786	ID_E
4250	ID_E
4868	ID_E
549	OR_WA_BPA
542	OR_WA_BPA
673	OR_WA_BPA
9139	MT_SE
1142	OR_WA_BPA
4374	MT_SW
4126	MT_NW
2114	WA_ID_AVA
2144	WA_ID_AVA
1834	WA_ID_AVA
2060	WA_ID_AVA
1947	WA_ID_AVA
4032	MT_NW
239	CAN_BC
5678	CAN_ALB
4940	CAN_ALB
6364	CAN_ALB
6224	CAN_ALB
6164	CAN_ALB
5235	CAN_ALB
6235	CAN_ALB
