ampl.tab 3 8
project_id	load_area	technology	location_id	ep_project_replacement_id	capacity_limit	capacity_limit_conversion	heat_rate	cogen_thermal_demand	connect_cost_per_mw	average_capacity_factor_intermittent
1114843	AZ_APS_E	CSP_Trough_6h_Storage	103278	0	44.02000045776367	30.530000686645508	0	0	44572.4	0.36664798855781555
1114865	AZ_APS_E	Central_PV	103352	0	34.150001525878906	33.779998779296875	0	0	79961.7	0.301488995552063
1114866	AZ_APS_E	CSP_Trough_No_Storage	103352	0	34.150001525878906	43.63999938964844	0	0	79961.7	0.2356950044631958
1114867	AZ_APS_E	CSP_Trough_6h_Storage	103352	0	34.150001525878906	30.670000076293945	0	0	79961.7	0.3775149881839752
1114868	AZ_APS_E	Central_PV	103318	0	16.610000610351562	33.88999938964844	0	0	62449.1	0.3014949858188629
1114869	AZ_APS_E	CSP_Trough_No_Storage	103318	0	16.610000610351562	43.63999938964844	0	0	62449.1	0.23570600152015686
1114870	AZ_APS_E	CSP_Trough_6h_Storage	103318	0	16.610000610351562	30.670000076293945	0	0	62449.1	0.37664398550987244
1115309	AZ_APS_E	Central_PV	103222	0	14.020000457763672	34.130001068115234	0	0	38631.6	0.3038490116596222
1115310	AZ_APS_E	CSP_Trough_No_Storage	103222	0	14.020000457763672	43.63999938964844	0	0	38631.6	0.2388100028038025
1115311	AZ_APS_E	CSP_Trough_6h_Storage	103222	0	14.020000457763672	30.530000686645508	0	0	38631.6	0.38089698553085327
1116542	AZ_APS_E	Central_PV	103270	0	50.0099983215332	33.779998779296875	0	0	57012.1	0.30395999550819397
1116543	AZ_APS_E	CSP_Trough_No_Storage	103270	0	50.0099983215332	43.63999938964844	0	0	57012.1	0.2344450056552887
1116544	AZ_APS_E	CSP_Trough_6h_Storage	103270	0	50.0099983215332	30.530000686645508	0	0	57012.1	0.3743090033531189
1116989	AZ_APS_E	Central_PV	103147	0	284.1700134277344	33.779998779296875	0	0	68360.2	0.30844399333000183
1116990	AZ_APS_E	CSP_Trough_No_Storage	103147	0	284.1700134277344	43.369998931884766	0	0	68360.2	0.23804399371147156
1116991	AZ_APS_E	CSP_Trough_6h_Storage	103147	0	284.1700134277344	30.389999389648438	0	0	68360.2	0.37879300117492676
1117427	AZ_APS_E	Central_PV	103649	0	150.97999572753906	34.25	0	0	83565.8	0.30161699652671814
1117472	AZ_APS_E	Central_PV	103305	0	41.2400016784668	33.779998779296875	0	0	61444.8	0.30372700095176697
1117473	AZ_APS_E	CSP_Trough_No_Storage	103305	0	41.2400016784668	43.63999938964844	0	0	61444.8	0.2393060028553009
1117474	AZ_APS_E	CSP_Trough_6h_Storage	103305	0	41.2400016784668	30.530000686645508	0	0	61444.8	0.38093799352645874
1117874	AZ_APS_E	Central_PV	103201	0	41.2400016784668	34.0099983215332	0	0	42609.6	0.3017280101776123
1117875	AZ_APS_E	CSP_Trough_No_Storage	103201	0	41.2400016784668	43.63999938964844	0	0	42609.6	0.23761199414730072
1117876	AZ_APS_E	CSP_Trough_6h_Storage	103201	0	41.2400016784668	30.530000686645508	0	0	42609.6	0.37825900316238403
1118318	AZ_APS_E	Central_PV	103114	0	13.479999542236328	34.369998931884766	0	0	82046.9	0.30768001079559326
1118330	AZ_APS_E	Central_PV	103328	0	26.3700008392334	34.83000183105469	0	0	93310.9	0.3007409870624542
1191185203	AZ_APS_N	Wind	5745	0	2640	0	0	0	44151.9	0.3117679953575134
1191185238	AZ_APS_N	Wind	4710	0	30	0	0	0	117347	0.30301401019096375
1191185240	AZ_APS_N	Wind	4673	0	30	0	0	0	113863	0.31457799673080444
1191185241	AZ_APS_N	Wind	4674	0	30	0	0	0	117414	0.30250999331474304
1191185256	AZ_APS_N	Wind	5752	0	390	0	0	0	31253.4	0.30494898557662964
1191209175	AZ_APS_N	Biomass_IGCC	0	0	0	0.10367000102996826	12.5	0	57566.6	0
1191209202	AZ_APS_N	Bio_Gas	0	0	0	0.07327079772949219	13.5	0	57566.6	0
1191209424	AZ_APS_N	Compressed_Air_Energy_Storage	0	0	100000	0	4.91	0	57566.6	0
1191209521	AZ_APS_N	Gas_Combustion_Turbine	0	0	0	0	10.39	0	57566.6	0
1191209571	AZ_APS_N	Coal_IGCC	0	0	0	0	7.95	0	57566.6	0
1191209621	AZ_APS_N	Coal_Steam_Turbine	0	0	0	0	9	0	57566.6	0
1191209671	AZ_APS_N	Nuclear	0	0	0	0	9.72	0	57566.6	0
1191209721	AZ_APS_N	Battery_Storage	0	0	0	0	0	0	57566.6	0
1191209771	AZ_APS_N	CCGT_CCS	0	0	0	0	10.08	0	57566.6	0
1191209821	AZ_APS_N	Gas_Combustion_Turbine_CCS	0	0	0	0	15.6199	0	57566.6	0
1191209871	AZ_APS_N	Coal_IGCC_CCS	0	0	0	0	10.38	0	57566.6	0
1191209921	AZ_APS_N	Coal_Steam_Turbine_CCS	0	0	0	0	12.1	0	57566.6	0
1191210050	AZ_APS_N	Biomass_IGCC_CCS	0	0	0	0.07743660360574722	16.3208	0	57566.6	0
1191210837	AZ_APS_N	CCGT	0	0	0	0	6.705	0	57566.6	0
1000117	AZ_APS_N	Commercial_PV	100384	0	4.143599987030029	1	0	0	0	0.14960700273513794
1000808	AZ_APS_N	Residential_PV	100028	0	107.10700225830078	1	0	0	0	0.16702499985694885
1001019	AZ_APS_N	Commercial_PV	100198	0	33.63909912109375	1	0	0	0	0.1958940029144287
1001020	AZ_APS_N	Residential_PV	103694	0	205.8679962158203	1	0	0	0	0.1966640055179596
1100342	AZ_APS_N	Central_PV	102689	0	1608.510009765625	33.29999923706055	0	0	83889.9	0.3055190145969391
1100366	AZ_APS_N	Central_PV	103070	0	146.10000610351562	32.939998626708984	0	0	60714.1	0.30588099360466003
1100367	AZ_APS_N	CSP_Trough_No_Storage	103070	0	146.10000610351562	43.369998931884766	0	0	60714.1	0.24067999422550201
1100368	AZ_APS_N	CSP_Trough_6h_Storage	103070	0	146.10000610351562	30.260000228881836	0	0	60714.1	0.38337698578834534
1100867	AZ_APS_N	Central_PV	103047	0	261.20001220703125	32.459999084472656	0	0	81784.3	0.3063479959964752
1100868	AZ_APS_N	CSP_Trough_No_Storage	103047	0	261.20001220703125	43.369998931884766	0	0	81784.3	0.23933300375938416
1100869	AZ_APS_N	CSP_Trough_6h_Storage	103047	0	261.20001220703125	30.389999389648438	0	0	81784.3	0.38155001401901245
1101875	AZ_APS_N	Central_PV	103102	0	191.69000244140625	33.18000030517578	0	0	61381.1	0.3017370104789734
1101876	AZ_APS_N	CSP_Trough_No_Storage	103102	0	191.69000244140625	43.63999938964844	0	0	61381.1	0.23194099962711334
1101877	AZ_APS_N	CSP_Trough_6h_Storage	103102	0	191.69000244140625	30.530000686645508	0	0	61381.1	0.3707509934902191
1102073	AZ_APS_N	Central_PV	102980	0	138.3300018310547	32.220001220703125	0	0	85935.1	0.3080730140209198
1102074	AZ_APS_N	CSP_Trough_No_Storage	102980	0	138.3300018310547	43.369998931884766	0	0	85935.1	0.23100699484348297
1102075	AZ_APS_N	CSP_Trough_6h_Storage	102980	0	138.3300018310547	30.389999389648438	0	0	85935.1	0.3711099922657013
1102430	AZ_APS_N	Central_PV	102885	0	173.6999969482422	33.41999816894531	0	0	73869.5	0.3024429976940155
1102631	AZ_APS_N	Central_PV	102645	0	311.9100036621094	34.0099983215332	0	0	60457.4	0.3021340072154999
1102632	AZ_APS_N	CSP_Trough_No_Storage	102645	0	311.9100036621094	43.09000015258789	0	0	60457.4	0.23555900156497955
1102633	AZ_APS_N	CSP_Trough_6h_Storage	102645	0	311.9100036621094	30.260000228881836	0	0	60457.4	0.3746350109577179
1102751	AZ_APS_N	Central_PV	102967	0	1.3200000524520874	34.369998931884766	0	0	77090.2	0.3049750030040741
1102752	AZ_APS_N	CSP_Trough_No_Storage	102967	0	1.3200000524520874	43.63999938964844	0	0	77090.2	0.23378300666809082
1102753	AZ_APS_N	CSP_Trough_6h_Storage	102967	0	1.3200000524520874	30.530000686645508	0	0	77090.2	0.3714450001716614
1102868	AZ_APS_N	Central_PV	103027	0	92.02999877929688	32.70000076293945	0	0	46063.6	0.30521199107170105
1102869	AZ_APS_N	CSP_Trough_No_Storage	103027	0	92.02999877929688	43.09000015258789	0	0	46063.6	0.23579399287700653
1102870	AZ_APS_N	CSP_Trough_6h_Storage	103027	0	92.02999877929688	30.260000228881836	0	0	46063.6	0.37439799308776855
1103114	AZ_APS_N	Central_PV	102895	0	1.0499999523162842	33.540000915527344	0	0	56249.8	0.3021650016307831
1103831	AZ_APS_N	Central_PV	102965	0	2.7799999713897705	32.81999969482422	0	0	53450.4	0.3015510141849518
1103933	AZ_APS_N	Central_PV	103163	0	330.3900146484375	33.29999923706055	0	0	71945.7	0.30467501282691956
1103934	AZ_APS_N	CSP_Trough_No_Storage	103163	0	330.3900146484375	43.63999938964844	0	0	71945.7	0.23687799274921417
1103935	AZ_APS_N	CSP_Trough_6h_Storage	103163	0	330.3900146484375	30.530000686645508	0	0	71945.7	0.3784250020980835
1104063	AZ_APS_N	CSP_Trough_No_Storage	102780	0	1.4199999570846558	42.81999969482422	0	0	68881.2	0.2310979962348938
1104064	AZ_APS_N	CSP_Trough_6h_Storage	102780	0	1.4199999570846558	29.989999771118164	0	0	68881.2	0.36619699001312256
1104089	AZ_APS_N	Central_PV	102754	0	4.519999980926514	34.47999954223633	0	0	42456.6	0.3005779981613159
1104090	AZ_APS_N	CSP_Trough_No_Storage	102754	0	4.519999980926514	43.369998931884766	0	0	42456.6	0.2293040007352829
1104091	AZ_APS_N	CSP_Trough_6h_Storage	102754	0	4.519999980926514	30.389999389648438	0	0	42456.6	0.36350300908088684
