ampl.tab 4 1
project_id	load_area	technology	date	avg_capacity_factor_hydro
5000022	CA_IID	Hydro_NonPumped_EP	20301208	0.2386
5000022	CA_IID	Hydro_NonPumped_EP	20301220	0.2386
5000022	CA_IID	Hydro_NonPumped_EP	20401207	0.2386
5000022	CA_IID	Hydro_NonPumped_EP	20401212	0.2386
5000022	CA_IID	Hydro_NonPumped_EP	20501206	0.2386
5000022	CA_IID	Hydro_NonPumped_EP	20501221	0.2386
5000023	CA_IID	Hydro_NonPumped_EP	20201214	0.2115
5000023	CA_IID	Hydro_NonPumped_EP	20201219	0.2115
5000023	CA_IID	Hydro_NonPumped_EP	20301208	0.2115
5000023	CA_IID	Hydro_NonPumped_EP	20301220	0.2115
5000023	CA_IID	Hydro_NonPumped_EP	20401207	0.2115
5000023	CA_IID	Hydro_NonPumped_EP	20401212	0.2115
5000023	CA_IID	Hydro_NonPumped_EP	20501206	0.2115
5000023	CA_IID	Hydro_NonPumped_EP	20501221	0.2115
5000024	CA_LADWP	Hydro_NonPumped_EP	20201214	0.3333
5000024	CA_LADWP	Hydro_NonPumped_EP	20201219	0.3333
5000024	CA_LADWP	Hydro_NonPumped_EP	20301208	0.3333
5000024	CA_LADWP	Hydro_NonPumped_EP	20301220	0.3333
5000024	CA_LADWP	Hydro_NonPumped_EP	20401207	0.3333
5000024	CA_LADWP	Hydro_NonPumped_EP	20401212	0.3333
5000024	CA_LADWP	Hydro_NonPumped_EP	20501206	0.3333
5000024	CA_LADWP	Hydro_NonPumped_EP	20501221	0.3333
5000025	CA_LADWP	Hydro_NonPumped_EP	20201214	0.3250
5000025	CA_LADWP	Hydro_NonPumped_EP	20201219	0.3250
5000025	CA_LADWP	Hydro_NonPumped_EP	20301208	0.3250
5000025	CA_LADWP	Hydro_NonPumped_EP	20301220	0.3250
5000025	CA_LADWP	Hydro_NonPumped_EP	20401207	0.3250
5000025	CA_LADWP	Hydro_NonPumped_EP	20401212	0.3250
5000025	CA_LADWP	Hydro_NonPumped_EP	20501206	0.3250
5000025	CA_LADWP	Hydro_NonPumped_EP	20501221	0.3250
5000026	CA_LADWP	Hydro_NonPumped_EP	20201214	0.2875
5000026	CA_LADWP	Hydro_NonPumped_EP	20201219	0.2875
5000026	CA_LADWP	Hydro_NonPumped_EP	20301208	0.2875
5000026	CA_LADWP	Hydro_NonPumped_EP	20301220	0.2875
5000026	CA_LADWP	Hydro_NonPumped_EP	20401207	0.2875
5000026	CA_LADWP	Hydro_NonPumped_EP	20401212	0.2875
5000026	CA_LADWP	Hydro_NonPumped_EP	20501206	0.2875
5000026	CA_LADWP	Hydro_NonPumped_EP	20501221	0.2875
5000027	CA_LADWP	Hydro_Pumped_EP	20201214	0.0185
5000027	CA_LADWP	Hydro_Pumped_EP	20201219	0.0185
5000027	CA_LADWP	Hydro_Pumped_EP	20301208	0.0185
5000027	CA_LADWP	Hydro_Pumped_EP	20301220	0.0185
5000027	CA_LADWP	Hydro_Pumped_EP	20401207	0.0185
5000027	CA_LADWP	Hydro_Pumped_EP	20401212	0.0185
5000027	CA_LADWP	Hydro_Pumped_EP	20501206	0.0185
5000027	CA_LADWP	Hydro_Pumped_EP	20501221	0.0185
